State,Tourist Destination,Type,Popularity,Best Time to Visit,Associated Festival/Event,Entry Fee,Nearby Attractions,Notable Activities
Uttar Pradesh,Temple 24,Religious,Medium,October to December,Baisakhi,No,Shopping Markets,Cultural Tours
Uttar Pradesh,Beach 483,Natural,Medium,July to September,Navratri,No,Temples,Shopping
Karnataka,Palace 70,Natural,Low,July to September,Bihu,Yes,Beaches,Wildlife Safari
Tamil Nadu,Park 83,Cultural,High,July to September,Pongal,Yes,Shopping Markets,Photography
Tamil Nadu,Palace 163,Beach,High,April to June,Diwali,Yes,National Parks,Photography
Rajasthan,Beach 1,Historical,Low,July to September,Lohri,No,Shopping Markets,Wildlife Safari
Punjab,Temple 236,Beach,Medium,October to December,Durga Puja,No,National Parks,Cultural Tours
Tamil Nadu,Temple 122,Historical,Low,January to March,Baisakhi,Yes,Temples,Cultural Tours
Assam,Beach 298,Historical,Low,October to December,Christmas,No,National Parks,Boating
Bihar,Palace 252,Adventure,High,April to June,Eid,No,Temples,Hiking
Madhya Pradesh,Beach 432,Hill Station,High,October to December,Durga Puja,Yes,Shopping Markets,Photography
Maharashtra,Park 426,Wildlife,Low,April to June,Bihu,Yes,Temples,Cultural Tours
Punjab,Hill Station 248,Adventure,Medium,July to September,Bihu,No,Waterfalls,Photography
Karnataka,Museum 92,Adventure,Medium,January to March,Eid,No,Temples,Boating
Uttar Pradesh,Museum 69,Cultural,Medium,July to September,Navratri,No,Shopping Markets,Shopping
Madhya Pradesh,Park 97,Cultural,High,January to March,Eid,Yes,Temples,Wildlife Safari
Karnataka,Temple 52,Hill Station,High,October to December,Durga Puja,No,Beaches,Shopping
Gujarat,Museum 106,Beach,Low,January to March,Durga Puja,Yes,Temples,Hiking
Bihar,Park 183,Historical,Medium,April to June,Pongal,No,National Parks,Cultural Tours
Assam,Museum 55,Beach,Low,January to March,Diwali,No,Shopping Markets,Hiking
Punjab,Park 251,Historical,Medium,July to September,Diwali,No,Shopping Markets,Photography
Bihar,Museum 11,Historical,Medium,October to December,Christmas,Yes,Temples,Boating
Gujarat,Hill Station 27,Wildlife,Medium,April to June,Durga Puja,Yes,National Parks,Wildlife Safari
Tamil Nadu,Palace 182,Wildlife,High,January to March,Bihu,No,Waterfalls,Shopping
Madhya Pradesh,Beach 25,Wildlife,High,April to June,Navratri,Yes,Beaches,Cultural Tours
Madhya Pradesh,Beach 87,Historical,Low,July to September,Eid,No,National Parks,Photography
Rajasthan,Fort 226,Wildlife,High,July to September,Holi,No,Waterfalls,Cultural Tours
Tamil Nadu,Hill Station 61,Cultural,High,January to March,Christmas,Yes,Shopping Markets,Hiking
Madhya Pradesh,Hill Station 325,Wildlife,Low,October to December,Bihu,No,Waterfalls,Cultural Tours
Maharashtra,Hill Station 259,Historical,Medium,July to September,Lohri,No,National Parks,Shopping
Karnataka,Museum 409,Wildlife,Medium,April to June,Navratri,Yes,National Parks,Cultural Tours
Tamil Nadu,Beach 50,Cultural,Low,January to March,Pongal,No,Temples,Photography
Rajasthan,Temple 396,Natural,Medium,January to March,Baisakhi,Yes,Temples,Boating
Assam,Beach 425,Hill Station,Low,October to December,Navratri,Yes,Shopping Markets,Photography
Tamil Nadu,Temple 454,Religious,High,April to June,Durga Puja,No,Shopping Markets,Shopping
Tamil Nadu,Hill Station 41,Historical,Medium,July to September,Eid,Yes,Waterfalls,Photography
Punjab,Beach 153,Hill Station,Medium,October to December,Bihu,Yes,Waterfalls,Shopping
Karnataka,Museum 23,Cultural,Low,July to September,Eid,Yes,Temples,Wildlife Safari
Bihar,Temple 344,Adventure,Low,October to December,Bihu,Yes,Temples,Cultural Tours
Gujarat,Museum 201,Historical,Low,January to March,Christmas,No,National Parks,Cultural Tours
Maharashtra,Fort 55,Natural,Medium,April to June,Lohri,Yes,Temples,Wildlife Safari
Madhya Pradesh,Beach 398,Hill Station,Low,October to December,Diwali,Yes,Temples,Cultural Tours
Tamil Nadu,Palace 313,Historical,Medium,April to June,Holi,Yes,National Parks,Boating
Maharashtra,Park 402,Hill Station,High,July to September,Diwali,No,Beaches,Photography
Punjab,Museum 276,Adventure,Low,July to September,Diwali,Yes,Waterfalls,Wildlife Safari
Punjab,Temple 447,Natural,Medium,July to September,Holi,Yes,Waterfalls,Cultural Tours
Maharashtra,Museum 197,Natural,Low,October to December,Pongal,No,National Parks,Wildlife Safari
Gujarat,Fort 63,Cultural,High,April to June,Baisakhi,No,National Parks,Photography
Rajasthan,Park 58,Adventure,Medium,October to December,Pongal,No,Waterfalls,Photography
Madhya Pradesh,Museum 216,Natural,Low,July to September,Bihu,No,National Parks,Hiking
Rajasthan,Park 340,Religious,Medium,January to March,Lohri,Yes,Waterfalls,Boating
Punjab,Palace 471,Religious,High,July to September,Christmas,No,Beaches,Cultural Tours
Uttar Pradesh,Fort 401,Hill Station,High,April to June,Christmas,No,Beaches,Shopping
Rajasthan,Palace 309,Religious,Low,April to June,Bihu,Yes,Shopping Markets,Hiking
Gujarat,Temple 56,Natural,Low,April to June,Holi,Yes,Temples,Cultural Tours
Punjab,Fort 444,Hill Station,Low,October to December,Christmas,No,Waterfalls,Hiking
Assam,Temple 82,Historical,Low,July to September,Navratri,Yes,Temples,Photography
Karnataka,Fort 370,Beach,Low,January to March,Bihu,Yes,Temples,Wildlife Safari
Maharashtra,Museum 323,Hill Station,Low,January to March,Durga Puja,Yes,Shopping Markets,Hiking
Uttar Pradesh,Beach 323,Wildlife,Medium,July to September,Eid,No,Shopping Markets,Cultural Tours
Punjab,Park 274,Historical,High,October to December,Holi,No,Waterfalls,Wildlife Safari
Karnataka,Park 124,Beach,Medium,July to September,Holi,Yes,Shopping Markets,Boating
Tamil Nadu,Hill Station 216,Hill Station,Medium,April to June,Navratri,Yes,Beaches,Boating
Karnataka,Hill Station 294,Beach,High,April to June,Navratri,Yes,Beaches,Shopping
Gujarat,Museum 284,Hill Station,Medium,April to June,Eid,Yes,National Parks,Shopping
Madhya Pradesh,Hill Station 29,Religious,Low,April to June,Pongal,No,Temples,Shopping
Tamil Nadu,Hill Station 263,Beach,Low,July to September,Baisakhi,No,Waterfalls,Boating
Rajasthan,Hill Station 171,Cultural,Medium,July to September,Bihu,No,Waterfalls,Wildlife Safari
Maharashtra,Temple 392,Religious,Medium,July to September,Bihu,Yes,Beaches,Photography
Assam,Beach 293,Beach,Low,April to June,Bihu,Yes,Temples,Photography
Uttar Pradesh,Palace 417,Wildlife,Medium,April to June,Holi,Yes,National Parks,Cultural Tours
Maharashtra,Beach 184,Cultural,Medium,July to September,Diwali,No,National Parks,Boating
Rajasthan,Park 423,Historical,Medium,October to December,Diwali,No,Waterfalls,Boating
Gujarat,Museum 258,Natural,Low,July to September,Diwali,No,Waterfalls,Shopping
Assam,Beach 64,Wildlife,Low,April to June,Bihu,No,Temples,Wildlife Safari
Rajasthan,Beach 152,Adventure,Medium,October to December,Bihu,Yes,Temples,Boating
Rajasthan,Temple 74,Natural,Medium,January to March,Diwali,No,National Parks,Boating
Maharashtra,Temple 264,Religious,Low,April to June,Christmas,Yes,National Parks,Photography
Madhya Pradesh,Temple 247,Wildlife,Low,October to December,Diwali,Yes,Beaches,Wildlife Safari
Maharashtra,Beach 160,Hill Station,Medium,July to September,Durga Puja,Yes,National Parks,Boating
Rajasthan,Hill Station 15,Natural,Medium,October to December,Diwali,Yes,Shopping Markets,Cultural Tours
Maharashtra,Temple 313,Religious,Low,July to September,Holi,Yes,Beaches,Boating
Gujarat,Fort 29,Historical,Medium,January to March,Pongal,No,National Parks,Boating
Rajasthan,Palace 89,Hill Station,Medium,January to March,Navratri,No,National Parks,Hiking
Gujarat,Fort 222,Natural,High,January to March,Navratri,No,Beaches,Shopping
Gujarat,Temple 79,Adventure,Low,October to December,Holi,No,Shopping Markets,Cultural Tours
Gujarat,Temple 61,Wildlife,Low,October to December,Durga Puja,No,Temples,Wildlife Safari
Punjab,Temple 440,Historical,High,July to September,Navratri,Yes,Shopping Markets,Hiking
Punjab,Beach 133,Beach,Low,October to December,Pongal,No,Beaches,Hiking
Gujarat,Beach 279,Wildlife,Low,January to March,Christmas,No,Shopping Markets,Wildlife Safari
Maharashtra,Museum 210,Wildlife,Medium,January to March,Lohri,No,Beaches,Shopping
Madhya Pradesh,Park 228,Historical,Low,October to December,Lohri,No,Beaches,Boating
Rajasthan,Palace 116,Natural,High,April to June,Pongal,Yes,Waterfalls,Shopping
Bihar,Temple 452,Natural,Medium,October to December,Christmas,No,Shopping Markets,Photography
Rajasthan,Palace 451,Wildlife,Medium,October to December,Durga Puja,No,Beaches,Cultural Tours
Assam,Beach 385,Historical,Low,January to March,Durga Puja,Yes,Waterfalls,Boating
Punjab,Hill Station 198,Religious,High,April to June,Pongal,Yes,Waterfalls,Photography
Karnataka,Park 192,Religious,Medium,July to September,Baisakhi,No,Beaches,Shopping
Rajasthan,Park 39,Adventure,Low,October to December,Lohri,No,Temples,Shopping
Rajasthan,Museum 336,Hill Station,High,January to March,Pongal,Yes,Beaches,Wildlife Safari
Tamil Nadu,Fort 460,Natural,Medium,January to March,Baisakhi,No,Temples,Cultural Tours
Assam,Museum 379,Religious,Low,July to September,Bihu,No,Temples,Cultural Tours
Gujarat,Park 88,Adventure,High,January to March,Diwali,Yes,Waterfalls,Cultural Tours
Maharashtra,Museum 193,Wildlife,Low,October to December,Bihu,Yes,Temples,Hiking
Bihar,Park 174,Beach,Medium,January to March,Christmas,No,National Parks,Wildlife Safari
Madhya Pradesh,Temple 19,Historical,High,January to March,Holi,Yes,National Parks,Shopping
Uttar Pradesh,Palace 151,Historical,High,April to June,Christmas,Yes,Beaches,Hiking
Bihar,Beach 274,Hill Station,Low,April to June,Diwali,No,National Parks,Shopping
Madhya Pradesh,Fort 305,Wildlife,Medium,July to September,Durga Puja,Yes,Shopping Markets,Shopping
Madhya Pradesh,Beach 212,Hill Station,High,October to December,Bihu,No,Waterfalls,Hiking
Bihar,Hill Station 221,Hill Station,Medium,July to September,Holi,No,National Parks,Shopping
Bihar,Beach 248,Historical,Medium,January to March,Holi,Yes,Shopping Markets,Hiking
Punjab,Beach 82,Cultural,Low,October to December,Bihu,No,National Parks,Wildlife Safari
Karnataka,Park 255,Natural,High,October to December,Pongal,Yes,National Parks,Photography
Gujarat,Palace 205,Historical,Medium,October to December,Baisakhi,No,National Parks,Photography
Punjab,Fort 427,Hill Station,Low,April to June,Eid,No,National Parks,Boating
Bihar,Museum 60,Natural,Medium,October to December,Holi,Yes,Shopping Markets,Wildlife Safari
Maharashtra,Fort 371,Beach,Medium,April to June,Diwali,Yes,National Parks,Cultural Tours
Tamil Nadu,Museum 432,Religious,High,July to September,Eid,Yes,Waterfalls,Cultural Tours
Rajasthan,Park 38,Adventure,High,January to March,Baisakhi,Yes,National Parks,Wildlife Safari
Assam,Museum 475,Natural,High,October to December,Christmas,No,Shopping Markets,Shopping
Rajasthan,Fort 383,Natural,Low,April to June,Baisakhi,No,National Parks,Cultural Tours
Maharashtra,Beach 109,Wildlife,High,October to December,Pongal,No,Temples,Boating
Punjab,Fort 416,Cultural,Medium,April to June,Eid,Yes,National Parks,Cultural Tours
Bihar,Fort 368,Religious,Medium,July to September,Diwali,Yes,Shopping Markets,Hiking
Maharashtra,Park 277,Wildlife,High,July to September,Durga Puja,No,Waterfalls,Boating
Bihar,Park 213,Adventure,Low,April to June,Christmas,Yes,National Parks,Shopping
Maharashtra,Museum 268,Historical,High,April to June,Bihu,Yes,Temples,Wildlife Safari
Gujarat,Hill Station 469,Wildlife,High,October to December,Durga Puja,Yes,Temples,Cultural Tours
Maharashtra,Temple 219,Religious,Medium,October to December,Holi,Yes,Temples,Photography
Rajasthan,Temple 22,Hill Station,Low,July to September,Eid,No,Beaches,Hiking
Punjab,Museum 437,Religious,Medium,January to March,Lohri,Yes,Temples,Hiking
Tamil Nadu,Fort 379,Wildlife,High,April to June,Diwali,No,National Parks,Photography
Assam,Fort 359,Beach,High,January to March,Durga Puja,Yes,Temples,Photography
Madhya Pradesh,Palace 313,Hill Station,Low,October to December,Diwali,No,Temples,Shopping
Punjab,Beach 479,Religious,Low,January to March,Navratri,No,Shopping Markets,Wildlife Safari
Madhya Pradesh,Museum 359,Wildlife,Low,April to June,Eid,Yes,Shopping Markets,Boating
Uttar Pradesh,Museum 364,Religious,Medium,July to September,Eid,Yes,Shopping Markets,Wildlife Safari
Gujarat,Hill Station 479,Religious,High,July to September,Durga Puja,Yes,Temples,Wildlife Safari
Madhya Pradesh,Palace 220,Natural,Medium,October to December,Bihu,No,National Parks,Hiking
Rajasthan,Park 196,Adventure,Medium,January to March,Eid,No,Beaches,Hiking
Tamil Nadu,Park 260,Cultural,Low,July to September,Pongal,Yes,Beaches,Wildlife Safari
Punjab,Fort 37,Beach,Medium,April to June,Bihu,No,Waterfalls,Hiking
Karnataka,Palace 292,Cultural,High,July to September,Baisakhi,Yes,National Parks,Photography
Rajasthan,Park 273,Wildlife,High,October to December,Durga Puja,Yes,Shopping Markets,Photography
Madhya Pradesh,Temple 163,Adventure,High,January to March,Holi,Yes,National Parks,Hiking
Madhya Pradesh,Museum 256,Wildlife,High,January to March,Christmas,Yes,Waterfalls,Boating
Assam,Park 478,Religious,Medium,July to September,Pongal,Yes,Shopping Markets,Cultural Tours
Karnataka,Palace 80,Historical,High,July to September,Durga Puja,No,Temples,Hiking
Madhya Pradesh,Beach 439,Cultural,Low,July to September,Holi,Yes,Shopping Markets,Cultural Tours
Maharashtra,Museum 321,Natural,High,April to June,Lohri,No,Shopping Markets,Hiking
Madhya Pradesh,Fort 160,Beach,High,January to March,Pongal,Yes,Temples,Hiking
Punjab,Beach 445,Beach,Medium,October to December,Baisakhi,No,Beaches,Hiking
Rajasthan,Fort 417,Wildlife,High,October to December,Diwali,No,National Parks,Cultural Tours
Madhya Pradesh,Park 419,Beach,High,January to March,Navratri,No,Shopping Markets,Wildlife Safari
Madhya Pradesh,Park 188,Natural,Medium,April to June,Diwali,Yes,Shopping Markets,Shopping
Gujarat,Museum 4,Adventure,Low,July to September,Bihu,No,National Parks,Shopping
Uttar Pradesh,Beach 354,Beach,Medium,October to December,Navratri,Yes,Shopping Markets,Cultural Tours
Madhya Pradesh,Hill Station 91,Beach,Medium,July to September,Navratri,Yes,Waterfalls,Photography
Rajasthan,Temple 307,Historical,Medium,April to June,Holi,No,Beaches,Boating
Assam,Hill Station 191,Cultural,High,January to March,Baisakhi,Yes,Waterfalls,Shopping
Uttar Pradesh,Park 469,Historical,High,October to December,Holi,No,Temples,Photography
Punjab,Palace 295,Adventure,Medium,January to March,Baisakhi,No,Shopping Markets,Boating
Bihar,Palace 184,Natural,High,July to September,Diwali,No,National Parks,Hiking
Tamil Nadu,Museum 216,Historical,Low,October to December,Navratri,Yes,National Parks,Wildlife Safari
Tamil Nadu,Fort 215,Cultural,Low,October to December,Diwali,No,Waterfalls,Cultural Tours
Punjab,Park 475,Historical,Medium,April to June,Navratri,No,National Parks,Boating
Uttar Pradesh,Temple 34,Adventure,High,October to December,Navratri,Yes,Temples,Boating
Maharashtra,Beach 98,Wildlife,Medium,April to June,Durga Puja,No,Beaches,Wildlife Safari
Madhya Pradesh,Palace 283,Historical,Low,July to September,Christmas,No,Temples,Cultural Tours
Assam,Palace 220,Adventure,Low,October to December,Lohri,Yes,Shopping Markets,Photography
Assam,Museum 298,Cultural,Low,July to September,Eid,Yes,Temples,Cultural Tours
Bihar,Hill Station 233,Adventure,Medium,October to December,Diwali,No,National Parks,Cultural Tours
Punjab,Palace 286,Historical,Low,January to March,Durga Puja,No,National Parks,Shopping
Uttar Pradesh,Hill Station 23,Beach,High,July to September,Durga Puja,Yes,National Parks,Cultural Tours
Tamil Nadu,Fort 129,Beach,Low,April to June,Pongal,Yes,National Parks,Photography
Bihar,Fort 290,Religious,High,January to March,Durga Puja,Yes,Waterfalls,Boating
Karnataka,Park 239,Historical,Medium,October to December,Lohri,No,Beaches,Shopping
Gujarat,Museum 449,Historical,High,July to September,Lohri,No,Waterfalls,Wildlife Safari
Maharashtra,Museum 388,Natural,Low,January to March,Durga Puja,Yes,Shopping Markets,Cultural Tours
Gujarat,Hill Station 267,Wildlife,Medium,October to December,Navratri,No,Waterfalls,Photography
Karnataka,Temple 343,Cultural,Low,April to June,Eid,Yes,Beaches,Photography
Rajasthan,Museum 166,Wildlife,High,July to September,Bihu,No,National Parks,Cultural Tours
Punjab,Museum 410,Religious,High,April to June,Holi,No,Waterfalls,Wildlife Safari
Tamil Nadu,Temple 127,Cultural,Low,October to December,Diwali,No,Shopping Markets,Boating
Rajasthan,Beach 255,Historical,Low,January to March,Christmas,No,Beaches,Shopping
Gujarat,Museum 67,Natural,Low,October to December,Eid,Yes,National Parks,Boating
Maharashtra,Fort 11,Religious,Medium,April to June,Durga Puja,No,Waterfalls,Wildlife Safari
Bihar,Park 487,Wildlife,Low,October to December,Diwali,Yes,National Parks,Shopping
Punjab,Park 324,Wildlife,Medium,July to September,Navratri,No,Temples,Wildlife Safari
Uttar Pradesh,Fort 483,Religious,Low,January to March,Durga Puja,Yes,Temples,Boating
Rajasthan,Palace 97,Adventure,Medium,October to December,Lohri,Yes,National Parks,Hiking
Madhya Pradesh,Hill Station 62,Adventure,High,April to June,Eid,No,Shopping Markets,Cultural Tours
Tamil Nadu,Temple 249,Hill Station,High,April to June,Navratri,No,Beaches,Hiking
Bihar,Beach 300,Adventure,Low,July to September,Christmas,Yes,Shopping Markets,Photography
Punjab,Park 247,Historical,Low,April to June,Navratri,No,Temples,Wildlife Safari
Maharashtra,Hill Station 422,Religious,Low,April to June,Holi,Yes,Waterfalls,Shopping
Karnataka,Museum 82,Cultural,Medium,January to March,Durga Puja,No,Temples,Cultural Tours
Punjab,Park 141,Beach,Medium,October to December,Holi,No,Shopping Markets,Shopping
Punjab,Park 24,Hill Station,Low,October to December,Durga Puja,Yes,National Parks,Photography
Punjab,Fort 389,Wildlife,Medium,April to June,Navratri,No,Temples,Boating
Madhya Pradesh,Park 397,Adventure,High,April to June,Pongal,Yes,Temples,Shopping
Karnataka,Fort 156,Cultural,Low,April to June,Diwali,Yes,National Parks,Wildlife Safari
Gujarat,Beach 303,Cultural,Medium,October to December,Holi,Yes,Temples,Wildlife Safari
Bihar,Temple 356,Natural,High,October to December,Diwali,No,National Parks,Cultural Tours
Punjab,Palace 81,Cultural,Low,October to December,Eid,No,Beaches,Wildlife Safari
Assam,Palace 159,Adventure,Medium,January to March,Pongal,No,National Parks,Shopping
Assam,Palace 375,Wildlife,High,July to September,Baisakhi,Yes,Temples,Photography
Assam,Temple 105,Historical,High,October to December,Holi,No,National Parks,Boating
Karnataka,Museum 266,Religious,Low,April to June,Holi,Yes,Temples,Cultural Tours
Uttar Pradesh,Park 294,Beach,High,July to September,Bihu,No,Beaches,Boating
Uttar Pradesh,Museum 147,Adventure,Medium,October to December,Diwali,Yes,Beaches,Cultural Tours
Maharashtra,Temple 260,Religious,Low,October to December,Eid,Yes,Temples,Wildlife Safari
Gujarat,Fort 482,Wildlife,Low,October to December,Holi,No,Temples,Hiking
Rajasthan,Museum 174,Religious,Medium,January to March,Bihu,Yes,Waterfalls,Photography
Karnataka,Fort 165,Adventure,Medium,April to June,Pongal,No,National Parks,Boating
Madhya Pradesh,Beach 338,Cultural,High,October to December,Pongal,Yes,Waterfalls,Photography
Karnataka,Fort 388,Adventure,High,April to June,Christmas,Yes,National Parks,Cultural Tours
Rajasthan,Palace 130,Cultural,Medium,October to December,Christmas,Yes,Shopping Markets,Cultural Tours
Gujarat,Hill Station 381,Natural,Medium,January to March,Navratri,Yes,Beaches,Wildlife Safari
Uttar Pradesh,Hill Station 13,Beach,Medium,January to March,Lohri,Yes,Shopping Markets,Cultural Tours
Karnataka,Temple 174,Beach,Low,July to September,Eid,Yes,Beaches,Photography
Punjab,Museum 239,Natural,Low,July to September,Baisakhi,No,National Parks,Hiking
Rajasthan,Beach 467,Natural,High,July to September,Eid,Yes,Beaches,Hiking
Punjab,Museum 75,Adventure,Low,October to December,Durga Puja,Yes,National Parks,Shopping
Uttar Pradesh,Temple 245,Cultural,Medium,January to March,Navratri,Yes,Shopping Markets,Boating
Bihar,Fort 228,Hill Station,High,July to September,Durga Puja,Yes,Shopping Markets,Cultural Tours
Maharashtra,Temple 278,Religious,Medium,October to December,Navratri,No,Waterfalls,Boating
Assam,Palace 151,Adventure,High,July to September,Holi,Yes,Shopping Markets,Wildlife Safari
Assam,Fort 164,Adventure,Low,October to December,Diwali,No,Waterfalls,Wildlife Safari
Madhya Pradesh,Hill Station 108,Natural,Medium,October to December,Christmas,No,Beaches,Photography
Bihar,Hill Station 274,Natural,Medium,April to June,Baisakhi,Yes,Beaches,Cultural Tours
Uttar Pradesh,Park 43,Religious,Medium,January to March,Lohri,Yes,Shopping Markets,Photography
Maharashtra,Beach 408,Cultural,High,January to March,Holi,Yes,Shopping Markets,Wildlife Safari
Gujarat,Beach 128,Natural,Medium,April to June,Holi,Yes,Beaches,Boating
Rajasthan,Beach 65,Hill Station,Low,October to December,Bihu,No,National Parks,Hiking
Tamil Nadu,Hill Station 56,Wildlife,Low,October to December,Bihu,Yes,Shopping Markets,Shopping
Uttar Pradesh,Temple 315,Religious,Low,January to March,Eid,No,Beaches,Cultural Tours
Rajasthan,Museum 330,Wildlife,Low,April to June,Pongal,No,Shopping Markets,Photography
Bihar,Park 201,Cultural,Low,January to March,Pongal,Yes,Beaches,Wildlife Safari
Assam,Park 303,Adventure,Medium,April to June,Bihu,Yes,Temples,Wildlife Safari
Karnataka,Beach 446,Wildlife,Medium,July to September,Christmas,Yes,National Parks,Wildlife Safari
Madhya Pradesh,Hill Station 358,Adventure,Low,January to March,Holi,No,Waterfalls,Boating
Tamil Nadu,Fort 249,Cultural,High,October to December,Durga Puja,No,Temples,Boating
Bihar,Temple 215,Adventure,Low,April to June,Pongal,No,Beaches,Boating
Uttar Pradesh,Fort 313,Natural,Low,July to September,Baisakhi,Yes,Beaches,Wildlife Safari
Punjab,Temple 209,Natural,Medium,July to September,Lohri,Yes,Shopping Markets,Shopping
Gujarat,Fort 374,Hill Station,Low,July to September,Durga Puja,No,Temples,Wildlife Safari
